                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1426,                 3.1809,                 1.1946,                0.01092,                 0.8683,                0.41809,                0.29681,                 0.8174,                 3.4737,                0.92327,             0.00037154,             0.00037154,             0.00037154
                      1,                0.98974,                  2.056,                 1.1013,                0.82435,                0.26539,                0.47091,                0.32915,                0.89681,                 3.1188,                 1.0632,             0.00074237,             0.00074237,             0.00074237
                      2,                0.95884,                 1.8158,                 1.0696,                0.64035,                0.33359,                0.64997,                0.38071,                 1.1098,                 3.0084,                 1.2552,              0.0010979,              0.0010979,              0.0010979
                      3,                0.98743,                 1.7612,                 1.0979,                  0.465,                0.64816,                0.58632,                0.41481,                 1.3534,                 5.5179,                 1.6572,              0.0013441,              0.0013441,              0.0013441
                      4,                 1.0466,                 1.6622,                 1.1412,                 0.6356,                0.69685,                0.72206,                0.52621,                 0.9013,                 4.2754,                 1.1056,              0.0013441,              0.0013441,              0.0013441
                      5,                0.98089,                  1.478,                 1.1254,                0.87936,                0.88447,                0.92477,                0.70993,                0.85437,                 1.6463,                 1.1767,              0.0013158,              0.0013158,              0.0013158
                      6,                0.89284,                 1.2992,                 1.0427,                 0.9238,                0.89822,                0.96041,                0.71512,                0.90445,                 1.2307,                 1.1457,              0.0012875,              0.0012875,              0.0012875
                      7,                0.90532,                 1.2157,                 1.0711,                0.95235,                0.88518,                 0.9582,                0.75035,                0.82641,                 1.0104,                 1.0669,              0.0012592,              0.0012592,              0.0012592
                      8,                0.81577,                  1.119,                 1.0432,                0.88408,                0.91022,                0.94235,                0.74807,                0.71564,                  1.011,                0.96087,              0.0012309,              0.0012309,              0.0012309
                      9,                 0.7764,                 1.0121,                 1.0051,                0.91277,                0.82147,                0.87248,                0.72546,                0.73586,                 1.0595,                0.99476,              0.0012026,              0.0012026,              0.0012026
                     10,                0.79167,                0.98542,                 1.0185,                0.90977,                0.86364,                0.91618,                0.73372,                0.89287,                 1.1381,                 1.2067,              0.0011744,              0.0011744,              0.0011744
                     11,                0.74328,                0.90979,                 0.9957,                0.92013,                0.92744,                0.95979,                0.79375,                0.66521,                0.82606,                0.94485,              0.0011461,              0.0011461,              0.0011461
                     12,                0.72242,                0.86572,                0.97762,                0.95922,                0.95402,                0.97906,                0.80332,                0.73344,                0.72039,                0.97631,              0.0011178,              0.0011178,              0.0011178
                     13,                0.72899,                0.82398,                0.98787,                0.97361,                0.94299,                0.98483,                 0.8165,                0.63701,                0.70823,                0.87415,              0.0010895,              0.0010895,              0.0010895
                     14,                0.71303,                0.78714,                0.98188,                0.93313,                0.90469,                  0.968,                  0.812,                0.62496,                 0.7924,                0.92291,              0.0010612,              0.0010612,              0.0010612
                     15,                0.67543,                0.71565,                0.95102,                0.95004,                 0.9697,                0.98538,                0.83434,                0.61207,                0.59178,                0.87217,              0.0010329,              0.0010329,              0.0010329
                     16,                0.67352,                0.70709,                0.97328,                0.97165,                0.96465,                 0.9861,                0.83908,                0.61486,                0.56624,                0.89169,              0.0010046,              0.0010046,              0.0010046
                     17,                0.67134,                0.71923,                0.96102,                0.97382,                0.95274,                0.98523,                0.83546,                0.56606,                0.56324,                0.85859,             0.00097629,             0.00097629,             0.00097629
                     18,                 0.6601,                0.69188,                0.95083,                0.95354,                0.92923,                0.97252,                0.83959,                 0.5306,                0.60077,                0.84768,               0.000948,               0.000948,               0.000948
                     19,                0.63878,                0.66176,                0.95358,                0.97475,                0.96492,                0.98351,                0.85073,                0.51437,                0.50686,                 0.8337,              0.0009197,              0.0009197,              0.0009197
                     20,                0.63644,                0.64953,                0.93882,                0.97209,                0.97369,                0.98963,                0.86104,                0.53453,                0.49272,                0.85693,             0.00089141,             0.00089141,             0.00089141
                     21,                0.59739,                0.59819,                0.93085,                0.95025,                0.92655,                0.96968,                0.85545,                0.47175,                0.53248,                0.82531,             0.00086312,             0.00086312,             0.00086312
                     22,                0.57948,                0.60639,                0.91205,                0.98008,                0.97688,                0.98811,                0.86805,                0.49601,                0.46066,                0.81499,             0.00083482,             0.00083482,             0.00083482
                     23,                0.57712,                0.57491,                0.92301,                0.98298,                0.96465,                0.98959,                0.87859,                0.49778,                0.44389,                0.81655,             0.00080653,             0.00080653,             0.00080653
                     24,                 0.5512,                0.53952,                0.91063,                0.97359,                0.96437,                0.98262,                0.86749,                0.47858,                0.46189,                0.82192,             0.00077823,             0.00077823,             0.00077823
                     25,                0.56326,                 0.5388,                0.90022,                 0.9847,                0.96906,                0.98202,                0.86507,                0.46545,                0.48368,                0.80236,             0.00074994,             0.00074994,             0.00074994
                     26,                0.56152,                0.54554,                0.89157,                0.98161,                0.97381,                0.98929,                0.88031,                0.43229,                0.44412,                0.78977,             0.00072164,             0.00072164,             0.00072164
                     27,                0.52014,                0.52504,                0.90348,                0.98786,                0.98225,                0.99334,                0.87447,                0.45539,                0.43143,                0.79666,             0.00069335,             0.00069335,             0.00069335
                     28,                0.52137,                0.51809,                0.89939,                0.98099,                0.98798,                0.99199,                0.88104,                0.43572,                0.42024,                0.79311,             0.00066506,             0.00066506,             0.00066506
                     29,                0.50707,                0.47728,                0.88926,                0.96708,                 0.9899,                0.99063,                0.89584,                0.43248,                0.40773,                 0.7903,             0.00063676,             0.00063676,             0.00063676
                     30,                0.50442,                0.48524,                0.89008,                 0.9784,                0.98864,                 0.9926,                  0.895,                0.40356,                0.40296,                0.78446,             0.00060847,             0.00060847,             0.00060847
                     31,                0.50417,                0.48248,                0.88416,                0.97856,                0.98957,                0.99147,                0.89306,                0.42652,                0.39209,                0.80212,             0.00058017,             0.00058017,             0.00058017
                     32,                0.47878,                0.46704,                 0.8794,                 0.9914,                0.97071,                0.99277,                0.90006,                0.39213,                0.38862,                0.78239,             0.00055188,             0.00055188,             0.00055188
                     33,                 0.4558,                0.45354,                0.87248,                0.99136,                0.97475,                0.99058,                0.89872,                 0.3817,                0.35672,                0.76624,             0.00052359,             0.00052359,             0.00052359
                     34,                0.45851,                 0.4479,                0.89265,                0.98731,                 0.9899,                0.99198,                0.89179,                0.36994,                0.36891,                0.77011,             0.00049529,             0.00049529,             0.00049529
