                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.94576,                  3.029,                 1.1647,                0.00327,                0.97115,                0.65278,                0.51759,                0.54893,                  3.691,                0.81737,             0.00031673,             0.00031673,             0.00031673
                      1,                0.78805,                 1.9079,                 1.1115,                0.67437,                0.20192,                0.46211,                0.31259,                 1.6654,                 4.5574,                 2.0175,             0.00063726,             0.00063726,             0.00063726
                      2,                0.92664,                  1.847,                 1.1434,                0.74706,                0.37769,                0.47589,                0.33193,                 1.1191,                 3.3387,                 1.4647,             0.00094458,             0.00094458,             0.00094458
                      3,                0.85446,                 1.6943,                 1.1056,                0.80314,                0.32575,                0.56135,                0.39709,                0.81902,                 7.9206,                 1.5441,              0.0012387,              0.0012387,              0.0012387
                      4,                0.87577,                 1.6636,                 1.1225,                 0.5555,                0.63583,                0.68832,                0.51017,                 1.0647,                 8.9836,                 1.7826,              0.0015196,              0.0015196,              0.0015196
                      5,                0.84601,                 1.5268,                 1.1201,                0.57018,                0.66118,                0.63704,                0.43206,                 1.1753,                 3.7276,                 1.3186,               0.001502,               0.001502,               0.001502
                      6,                0.77245,                 1.2434,                 1.0524,                 0.7661,                0.67577,                0.85167,                0.69008,                0.84577,                 2.6111,                 1.2161,               0.001502,               0.001502,               0.001502
                      7,                0.80795,                 1.2689,                 1.0937,                0.89147,                0.85257,                0.91513,                0.74049,                0.74998,                 1.8026,                 1.1532,               0.001469,               0.001469,               0.001469
                      8,                0.72945,                 1.1516,                 1.0677,                0.95759,                0.83561,                0.93354,                0.78721,                0.85267,                 1.5607,                 1.4435,               0.001436,               0.001436,               0.001436
                      9,                0.75303,                 1.1019,                  1.064,                0.93401,                0.91013,                 0.9433,                0.80471,                0.68488,                 1.8512,                 1.0509,              0.0014029,              0.0014029,              0.0014029
                     10,                0.65054,                0.97842,                 1.0005,                 0.8697,                  0.795,                0.92362,                0.77874,                 0.7286,                 1.7893,                  1.195,              0.0013699,              0.0013699,              0.0013699
                     11,                0.67608,                0.97735,                  1.003,                0.91393,                0.89913,                0.95177,                0.72512,                0.78816,                 2.0053,                 1.1372,              0.0013369,              0.0013369,              0.0013369
                     12,                0.62338,                0.85636,                0.98471,                 0.9076,                0.92936,                0.96657,                 0.8221,                0.75723,                 1.3579,                 1.2626,              0.0013039,              0.0013039,              0.0013039
                     13,                0.66691,                0.85837,                 1.0013,                0.95345,                0.97538,                 0.9849,                0.86284,                0.60143,                0.94069,                  1.003,              0.0012709,              0.0012709,              0.0012709
                     14,                0.63749,                0.82537,                 1.0018,                0.93418,                0.89525,                 0.9647,                0.83339,                0.73229,                 1.4152,                 1.0706,              0.0012379,              0.0012379,              0.0012379
