                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4258,                 4.7667,                  1.066,                0.00245,                      1,                0.49776,                0.33929,                0.84969,                 5.7755,                0.85695,             0.00025005,             0.00025005,             0.00025005
                      1,                 1.2273,                 2.9918,                 1.0211,                0.00241,                   0.94,                0.16123,                0.14583,                0.81358,                 7.2628,                0.95136,             0.00050654,             0.00050654,             0.00050654
                      2,                  1.092,                 2.6133,                 1.0425,                0.00218,                0.84828,                0.00439,                0.00249,                0.94756,                 5.5436,                 1.1512,             0.00075246,             0.00075246,             0.00075246
                      3,                  1.075,                  2.511,                 1.0367,                      1,                0.14868,                0.20255,                0.10752,                 1.2416,                 7.0548,                 1.2688,             0.00098783,             0.00098783,             0.00098783
                      4,                 1.1248,                 2.3761,                 1.0562,                0.93159,                0.32759,                0.88782,                0.65179,                 1.0106,                 4.3827,                 1.1071,              0.0012126,              0.0012126,              0.0012126
                      5,                 1.0463,                 2.1454,                 1.0365,                 0.9382,                0.81001,                0.88551,                0.63846,                 1.0364,                 4.0834,                 1.2026,              0.0014269,              0.0014269,              0.0014269
                      6,                 1.1286,                 2.1326,                 1.0499,                0.95183,                0.88362,                0.96372,                0.69374,                 1.2411,                 3.7536,                 1.2586,               0.001469,               0.001469,               0.001469
                      7,                0.99747,                 1.7283,                 1.0284,                0.82588,                 0.7069,                0.85909,                0.62888,                 1.4909,                  3.812,                 1.8668,               0.001469,               0.001469,               0.001469
                      8,                0.93025,                 1.4975,                0.97886,                0.79895,                0.87538,                0.91917,                0.71394,                0.90484,                 2.9272,                 1.0948,               0.001436,               0.001436,               0.001436
                      9,                 0.9505,                 1.4409,                 0.9904,                0.80688,                0.99407,                0.96044,                0.76032,                0.81908,                 3.1469,                 1.0603,              0.0014029,              0.0014029,              0.0014029
                     10,                0.85883,                 1.3434,                0.95652,                0.94899,                0.98276,                 0.9907,                0.79573,                0.77284,                 2.0783,                 1.0136,              0.0013699,              0.0013699,              0.0013699
                     11,                0.91436,                 1.2912,                0.97925,                0.95672,                0.95495,                0.98697,                0.81681,                0.70652,                 2.4958,                 1.0213,              0.0013369,              0.0013369,              0.0013369
                     12,                0.81576,                 1.1276,                0.94178,                 0.9314,                0.98276,                0.97761,                0.79253,                0.70635,                  1.761,                  1.011,              0.0013039,              0.0013039,              0.0013039
                     13,                0.84328,                  1.133,                0.92572,                0.96191,                0.99701,                 0.9892,                 0.7925,                0.76321,                 1.5569,                 1.0558,              0.0012709,              0.0012709,              0.0012709
                     14,                  0.842,                 1.0743,                0.94128,                0.99502,                0.95868,                0.99219,                0.81939,                0.75694,                 1.3143,                 1.0396,              0.0012379,              0.0012379,              0.0012379
                     15,                0.85065,                 1.0156,                0.93853,                0.92388,                0.93103,                0.95327,                0.80184,                0.67355,                 1.0677,                 1.0106,              0.0012049,              0.0012049,              0.0012049
