                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.286,                 4.2271,                 1.3385,                  0.002,                0.80435,                0.36098,                 0.2599,                0.61361,                 3.5172,                0.82619,             0.00025005,             0.00025005,             0.00025005
                      1,                0.99034,                 2.4775,                 1.1808,                0.00238,                      1,                0.30873,                0.19512,                0.84857,                 3.6464,                 1.0309,             0.00050654,             0.00050654,             0.00050654
                      2,                 1.0703,                 2.3017,                 1.1909,                      1,                 0.3073,                0.49183,                0.38973,                0.84106,                 3.0309,                 1.1263,             0.00075246,             0.00075246,             0.00075246
                      3,                 1.0961,                 2.2407,                 1.2333,                      1,                0.40957,                0.44687,                0.34854,                 1.1905,                 2.8345,                 1.6896,             0.00098783,             0.00098783,             0.00098783
                      4,                0.94809,                  1.863,                 1.1288,                0.97816,                0.37758,                0.44139,                0.29287,                 1.1672,                 2.9199,                 2.3723,              0.0012126,              0.0012126,              0.0012126
                      5,                 1.0318,                 1.9081,                 1.1706,                0.52344,                0.84384,                0.84373,                0.56305,                 1.0957,                 5.2707,                 1.8161,              0.0014269,              0.0014269,              0.0014269
                      6,                 1.0101,                 1.7734,                 1.1975,                0.52329,                0.80998,                0.87831,                 0.5884,                 1.2348,                 2.7237,                 1.7496,               0.001469,               0.001469,               0.001469
                      7,                0.94594,                 1.6133,                 1.1255,                0.69641,                0.86192,                 0.7597,                0.54599,                  1.338,                 3.2554,                 1.7992,               0.001469,               0.001469,               0.001469
                      8,                0.93384,                 1.4462,                 1.1512,                0.84813,                0.91979,                0.91999,                0.71448,                0.84058,                 1.9448,                 1.1385,               0.001436,               0.001436,               0.001436
                      9,                0.94029,                 1.3926,                  1.163,                0.92015,                0.91379,                0.93261,                0.74584,                0.98365,                 1.6357,                 1.4093,              0.0014029,              0.0014029,              0.0014029
                     10,                0.91379,                 1.3444,                 1.1448,                0.79555,                0.95004,                0.97047,                0.77544,                0.82248,                 1.4307,                 1.1706,              0.0013699,              0.0013699,              0.0013699
                     11,                 0.8593,                 1.1894,                 1.0912,                0.93926,                0.96515,                0.96591,                 0.7415,                 1.0131,                 1.4294,                 1.3682,              0.0013369,              0.0013369,              0.0013369
                     12,                0.83818,                 1.1703,                 1.0799,                0.95259,                0.86207,                0.93199,                0.74251,                0.83582,                 1.3399,                 1.1403,              0.0013039,              0.0013039,              0.0013039
                     13,                0.83786,                 1.0668,                 1.0359,                 0.9511,                0.98276,                0.97978,                0.79678,                0.82544,                 1.0534,                 1.3113,              0.0012709,              0.0012709,              0.0012709
                     14,                0.76871,                0.96198,                 1.0073,                0.91614,                 0.9598,                0.96579,                0.70888,                0.76432,                 1.1145,                 1.0995,              0.0012379,              0.0012379,              0.0012379
                     15,                0.77624,                0.91624,                 1.0242,                0.96449,                0.98276,                0.98424,                0.80417,                0.67985,                0.71703,                0.98077,              0.0012049,              0.0012049,              0.0012049
                     16,                0.77474,                0.83586,                 1.0118,                0.89207,                0.93103,                0.93675,                0.74858,                0.72711,                0.92131,                 1.0018,              0.0011719,              0.0011719,              0.0011719
                     17,                0.74523,                0.85805,                 1.0227,                0.95693,                 0.9279,                0.98321,                0.83991,                0.62598,                0.67427,                0.89688,              0.0011389,              0.0011389,              0.0011389
                     18,                0.68938,                0.78856,                0.98837,                0.94438,                0.97879,                0.98473,                0.80467,                0.60244,                0.82664,                0.86435,              0.0011059,              0.0011059,              0.0011059
                     19,                0.71992,                0.78047,                0.99561,                0.97699,                0.96552,                0.98372,                0.82666,                0.54332,                0.56991,                0.90279,              0.0010729,              0.0010729,              0.0010729
                     20,                0.69146,                0.74176,                0.99566,                0.98146,                0.98149,                 0.9833,                0.86517,                0.59826,                0.58111,                0.90303,              0.0010399,              0.0010399,              0.0010399
                     21,                0.68478,                0.75871,                0.97769,                0.99267,                0.96552,                0.99108,                0.89054,                0.47112,                0.54749,                0.81328,              0.0010069,              0.0010069,              0.0010069
                     22,                0.65146,                0.68759,                0.97048,                 0.9775,                0.98276,                0.99352,                0.85134,                0.53875,                0.49912,                0.82429,             0.00097386,             0.00097386,             0.00097386
                     23,                0.61556,                 0.6421,                0.97196,                0.99457,                0.98243,                0.99279,                0.87282,                0.49176,                0.48582,                0.79646,             0.00094085,             0.00094085,             0.00094085
                     24,                0.62292,                0.65122,                0.97279,                0.99281,                0.98276,                0.99036,                0.89131,                0.43079,                0.46594,                0.78042,             0.00090785,             0.00090785,             0.00090785
                     25,                0.57805,                0.61125,                0.95538,                0.99531,                0.96259,                0.99306,                0.88481,                0.43585,                0.40615,                0.77692,             0.00087484,             0.00087484,             0.00087484
                     26,                0.62177,                 0.6111,                0.98719,                0.99412,                 0.9983,                  0.995,                0.87568,                 0.4311,                0.37333,                 0.7581,             0.00084184,             0.00084184,             0.00084184
