                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                   1.03,                 3.8001,                 1.2431,                0.06861,                 0.5775,                0.20884,                0.15274,                 1.0036,                 3.8443,                 1.1482,             0.00017059,             0.00017059,             0.00017059
                      1,                 1.1151,                 2.7793,                 1.3014,                0.59003,                0.29811,                0.37877,                0.25502,                  1.208,                 2.8656,                 1.3098,             0.00033908,             0.00033908,             0.00033908
                      2,                 1.1459,                 2.2536,                  1.317,                0.66264,                 0.3556,                0.44786,                0.28962,                 1.3095,                 2.4541,                 1.4272,             0.00050062,             0.00050062,             0.00050062
                      3,                 1.1808,                 2.0736,                 1.3263,                  0.515,                0.43538,                  0.461,                0.29302,                 1.3184,                 2.2568,                 1.4386,             0.00049476,             0.00049476,             0.00049476
                      4,                 1.1353,                 1.9768,                 1.3346,                0.63084,                0.43765,                0.49339,                 0.3013,                 1.2917,                 2.1546,                 1.4269,             0.00049476,             0.00049476,             0.00049476
                      5,                  1.184,                 1.9939,                 1.3502,                0.52418,                0.46245,                0.46587,                0.28832,                 1.3052,                 2.1865,                 1.4378,             0.00048434,             0.00048434,             0.00048434
                      6,                 1.1548,                 1.8926,                 1.3045,                0.54824,                0.46454,                0.49205,                0.30501,                 1.3092,                 2.0357,                 1.4242,             0.00047393,             0.00047393,             0.00047393
                      7,                 1.1614,                 1.9092,                 1.3262,                0.60427,                0.45601,                0.47844,                0.30348,                 1.2898,                 2.0405,                 1.4137,             0.00046351,             0.00046351,             0.00046351
                      8,                 1.0972,                 1.7858,                 1.2987,                0.57141,                0.48802,                0.51987,                0.33528,                   1.32,                 1.9005,                 1.4015,              0.0004531,              0.0004531,              0.0004531
                      9,                 1.0607,                 1.7158,                 1.2554,                0.61167,                0.49789,                0.52698,                0.33459,                 1.3248,                 2.0037,                  1.413,             0.00044268,             0.00044268,             0.00044268
